	os	oRON			iRON	ibaohe	S-ZORB.AT_5201.PV	S-ZORB.FT_9302.PV	S-ZORB.FT_9401.PV	S-ZORB.FT_1001.PV	S-ZORB.TE_1001.PV	S-ZORB.TE_1105.PV	S-ZORB.PC_1603.PV	S-ZORB.FC_1201.PV	S-ZORB.TC_2801.PV	S-ZORB.TE_1101.DACA	S-ZORB.TE_1103.DACA	S-ZORB.FT_2433.DACA	S-ZORB.LT_1301.DACA	S-ZORB.TE_5002.DACA	S-ZORB.AT_1001.DACA	S-ZORB.FT_3501.DACA	S-ZORB.PDI_2301.DACA	S-ZORB.PC_2401B.DACA	S-ZORB.TE_2608.DACA	S-ZORB.PDT_2906.DACA	S-ZORB.TE_7108B.DACA	S-ZORB.PT_7107B.DACA	S-ZORB.TE_7102B.DACA	S-ZORB.SIS_FT_3202.PV	S-ZORB.TXE_2203A.DACA	S-ZORB.TXE_2202A.DACA	S-ZORB.TE_5008.DACA	S-ZORB.FC_5001.DACA
1	3.2	89.22	0	90.6	53.23	-0.11	5361.6265	97.244	112.8357	56.247	55.6139	0.0453	127.8627	272.368	126.8345	364.8054	3.4028	-0.6786	121.4456	130.3583	-0.0066	0.6688	1.7643	421.6276	-0.8712	54.493	3.1452	29.3033	236.3746	482.9731	483.029	71.2032	2564.2634	
2	3.2	89.32	1	90.5	52.3	0.2418	5394.2922	100.0282	112.8037	56.9173	56.4614	0.0484	128.3304	281.0727	127.0277	361.6703	3.7163	-1.2617	121.9972	139.9925	-0.0449	0.7551	1.6628	452.1405	-0.9664	55.2164	3.1454	29.3302	237.3548	479.6724	480.1575	69.1559	2277.3611	
3	3.2	89.32	2	90.7	52.3	-0.04	5349.3918	98.5161	113.0896	56.2983	54.6989	0.0475	129.0354	272.9243	126.6169	364.9424	3.5039	-0.8634	121.4283	139.8781	-0.0189	0.7996	1.6365	476.7668	-0.9813	52.3576	3.1442	26.4417	239.7533	481.3547	481.9367	65.355	2117.8925	
4	3.2	89.02	3	90.4	52.3	-0.1995	5342.5033	99.2777	121.2581	61.0018	57.8837	0.0448	109.2427	269.1415	129.4024	364.9119	3.9035	-0.7734	123.5045	127.9388	0.0401	0.8931	1.4818	470.5446	-0.9353	54.506	3.145	28.9537	245.3685	488.1573	488.6312	63.226	2078.1086	
5	3.2	88.32	4	89.6	52.24	-0.1871	5208.6394	98.593	121.6784	59.8789	57.3038	0.0392	121.6388	267.0334	129.2647	368.9648	4.1645	-0.7905	123.4738	128.2543	-0.0163	0.8218	1.5647	478.3633	-0.9495	54.2448	3.1435	28.5304	238.674	482.3581	482.4535	62.579	2057.85	
6	3.2	89.59	5	91	52.1	0.9168	4926.6344	102.3195	117.5888	63.2467	58.4562	0.0379	109.5361	279.299	131.2373	367.9163	3.2091	-0.5533	124.759	155.6301	-0.0187	0.7781	1.6024	470.7069	-0.9119	54.6592	3.1445	28.4711	241.003	485.448	485.5257	59.7813	1940.6934	
7	4.6	89.2	6	90.4	51.36	-0.0327	4916.3633	102.3451	116.3687	59.9661	56.6346	0.0428	109.9655	278.485	129.2973	366.4525	3.427	-0.7209	123.3636	144.2495	-0.0193	0.7842	1.5953	484.4279	-0.9285	54.2231	3.1444	27.7624	241.3823	484.696	484.9535	59.3126	1863.941	
8	6.6	89.2	7	90.5	49.5	2.5181	4725.2411	99.604	117.1413	65.0595	63.4478	0.0401	110.5028	290.6677	132.802	362.2178	3.5275	-0.7395	125.7314	159.4969	0.0436	0.914	1.4653	459.7889	-0.9311	60.2186	3.1449	34.8499	243.3708	485.7803	486.1548	76.7015	2229.6758	
9	3.2	89.3	8	90.4	49.86	0.9008	4804.6154	100.8373	114.239	61.5819	59.2399	0.0402	110.1597	280.0742	130.0624	364.4422	3.4295	-0.6691	123.5578	155.7604	0.0332	0.7482	1.6381	463.1457	-0.8582	56.8165	3.1446	31.3786	244.9438	488.0526	487.9418	75.7126	2334.8248	
10	3.2	88.8	9	90.2	50.21	0.568	4854.6814	102.1239	120.8178	63.3385	60.4115	0.0366	109.5773	282.6794	131.3584	365.1603	3.8522	-0.3665	124.7027	170.5868	0.0699	0.8402	1.5445	474.5039	-0.8226	57.5073	3.1464	31.8697	238.1652	481.4486	481.3201	76.461	2434.024	
11	3.2	88.9	10	90.2	52	-0.1046	5052.5876	104.0642	51.3128	41.1306	45.7556	0.0474	108.1878	277.9862	117.5363	359.3843	4.0227	-0.5037	113.6945	86.1077	-0.0031	0.8697	1.4865	466.3654	-0.8032	54.3389	3.1473	28.6244	240.9664	481.2997	481.3155	85.7947	2629.7534	
12	3.2	88.9	11	90.2	53	0.81	6167.5641	100.6043	51.0621	41.6584	47.4534	0.0459	108.5268	282.2505	118.282	359.5748	4.1708	-0.594	114.1156	92.215	0.1515	0.9664	1.4047	459.9965	-0.8201	55.4077	3.1464	29.4738	238.4984	480.2108	480.2629	89.9357	3123.3104	
