188,90.6,53.23,24.4,22.37,2.32,7.3,1.84,5.98
169,90.5,52.3,26.4,21.3,2.37,7.34,0.55,4.38
177,90.7,52.3,26.31,21.39,2.43,7.27,1.89,5.82
159,90.4,52.3,26.1,21.6,3.08,7.35,0.98,4.67
173,89.6,52.24,26.67,21.09,2.45,6.58,0.83,4.52
163,91,52.1,28.1,19.8,2.31,6.32,0.88,4.81
209,90.4,51.36,28.41,20.23,2.38,6.42,0.66,4.86
195,90.5,49.5,29.2,21.3,3,7.81,0.83,4.68
165,90.4,49.86,29.07,21.07,2.32,6.72,0.93,4.97
159,90.2,50.21,28.94,20.84,2.32,6.72,0.95,4.76
85,90.2,52,28.3,19.7,1.99,6.16,0.56,4.55
117,90.2,53,28.12,18.88,2.01,5.38,0.62,4.03
103,89.2,55.5,27.68,16.82,1.74,7.56,0.81,5.24
83,86.8,56.5,27.5,16,2.06,6.32,0.97,5.65
121,87.8,55.7,27.2,17.1,2.03,7.22,0.55,4.32
115,88.4,56.56,26.29,17.16,2.06,7.28,0.5,3.98
77,87.2,57.2,25.6,17.2,1.74,7.52,0.73,4.93
108,88,56.34,23.83,19.83,1.76,7.46,0.75,5.1
98.2,88.2,55.91,22.94,21.14,1.76,7.67,0.82,5.7
117,88.8,55.7,22.5,21.8,1.64,7.18,0.71,4.96
111,88.1,56.41,23.14,20.44,1.67,6.75,0.53,4.11
57,88.2,56.7,23.4,19.9,1.71,6.83,0.58,4.48
148,89.6,56.59,21.51,21.9,1.66,6.99,0.57,4.6
131,89,56.5,20.1,23.4,1.63,6.73,0.54,4.04
222,89.3,55.13,22.56,22.31,1.62,6.95,0.54,3.93
125,89.2,54.1,24.4,21.5,1.01,6.94,0.48,4.16
156,88.7,55.19,21.09,23.73,1.63,6.55,0.41,3.75
170,89,56,18.6,25.4,1.68,7.31,0.55,3.89
206,89.7,55.81,19.51,24.68,1.79,8.67,0.65,5.2
185,89.2,55.67,20.2,24.13,1.74,8.08,0.57,4.9
172,89.1,55.48,21.11,23.41,1.73,7.98,0.52,4.67
133,88.5,55.33,21.8,22.87,1.8,7.64,0.58,5.14
189,88.4,55.14,22.71,22.14,2.05,8.34,1.91,7.64
144,88.1,55,23.4,21.6,1.75,7.81,0.61,4.91
210,88.7,54.51,24.03,21.46,2,7.2,0.93,5.02
137,87.5,54.15,24.5,21.35,1.81,7.75,0.57,4.94
168,89.4,53.66,25.13,21.21,1.73,8.34,0.75,5.12
154,89.1,53.3,25.6,21.1,2.23,8.61,0.86,5.61
230,89.5,53.6,26,20.4,1.72,6.33,0.59,4
236,89.7,51.31,27.14,21.54,1.88,6.45,0.97,5.43
236,89.2,49.6,28,22.4,1.79,6.46,0.93,4.96
204,89.8,50.34,29.14,20.51,1.92,9.13,1.01,6.26
172,89.6,50.9,30,19.1,1.88,8.33,0.97,5.57
179,89.5,52.33,29.09,18.59,1.74,8.79,1.43,6.44
275,89.7,53.4,28.4,18.2,2.92,9.43,1.03,5.34
216,89.5,53.34,27.89,18.77,2.52,8.61,1.09,5.92
286,89.6,53.3,27.5,19.2,1.73,8.75,1.49,6.13
209,90,54.16,25.96,19.89,2.08,9.04,1.5,6.23
264,90.2,54.8,24.8,20.4,1.84,8.97,1.06,6.4
132,89.6,57.44,22.29,20.27,1.98,9.26,0.87,6.12
221,89.6,59.5,20.4,20.1,3.45,9.41,1.41,6.67
126,90.1,58.53,20.17,21.3,1.67,7.92,0.7,5.41
199,90.2,57.8,20,22.2,3.13,9.76,1.15,5.51
144,90.1,58.6,19.31,22.09,2.78,9.13,1.08,5.71
101,89.8,59.2,18.8,22,3.2,9.97,0.82,6.07
169,89.6,60.91,17.37,21.71,2.53,9.01,0.77,5.97
241,89.4,62.2,16.3,21.5,1.64,8.66,0.65,5.6
244,88.7,62.89,16.07,21.04,1.57,8.58,0.61,5.67
263,89.4,63.4,15.9,20.7,1.78,8.31,0.69,5.84
225,89.2,62.37,16.64,20.99,2.45,9.16,1.06,5.63
245,89.7,61.6,17.2,21.2,2.55,9.35,0.75,6.06
239,89,59.94,18.11,21.94,2.68,9.62,0.93,6.51
239,89.1,58.7,18.8,22.5,1.71,9.05,0.97,6.47
172,88.8,58.81,19.37,21.81,1.64,8.4,0.71,5.42
182,88.3,58.9,19.8,21.3,2.77,9.78,1.35,7.14
156,88.7,58.39,20.31,21.3,2.1,9.46,1.32,7.1
137,89,58,20.7,21.3,3.52,10.62,1.57,7.47
129,88.5,58,20.7,21.3,5.55,8.06,3.12,5.47
139,88,58.5,21.2,20.3,2.52,9.82,1.23,6.62
195,88.7,57.3,22.7,20,2.66,9.92,1.16,6.3
201,90.6,56.5,20.4,23.1,2.87,9.96,1.28,6.52
252,90.8,57.67,19.07,23.27,2.86,9.82,1.46,6.86
183,89.3,58.69,16.09,25.22,3.13,9.56,1.46,7.13
169,88.3,59.2,14.6,26.2,2.76,9.25,1.42,6.67
185,88.4,59.9,15.5,24.6,2.52,8.86,1.67,7.1
120,88.7,62.2,14.7,23.1,2.53,9.28,1.72,7.3
227,90.1,57.9,19.7,22.4,2.4,9.37,1.93,7.23
257.4,90.1,53.6,24.7,21.7,2.03,9.87,1.49,7.03
214,89.9,53.4,24.95,21.65,2.02,9.77,1.69,7.46
241,89.1,53.2,25.2,21.6,2.61,8.47,1.6,6.51
242,88,54.4,23.73,21.87,1.96,7.97,1.57,6.38
243,88.7,56.8,20.8,22.4,2.41,9.18,1.64,6.63
255,89.3,56.4,21.4,22.2,2.11,8.07,1.45,5.78
249,87.6,56.2,22,21.8,1.8,8.25,1.33,6.55
