变量编号,位号,中文名称,取值范围,单位,Δ值
1,S-ZORB.CAL_H2.PV,氢油比,0.20-0.37,,0.01
2,S-ZORB.PDI_2102.PV,反应过滤器压差,10-35,KPa,1
3,S-ZORB.PT_2801.PV,还原器压力,2.35-2.70,MPa,0.1
4,S-ZORB.FC_2801.PV,还原器流化氢气流量,600-1000,Nm3/h,50
5,S-ZORB.TE_2103.PV,反应器上部温度,410-435,℃,1
6,S-ZORB.TE_2005.PV,反应器底部温度,399-430,℃,1
7,S-ZORB.PT_2101.PV,反应器顶部压力,2.25-2.55,MPa,0.1
8,S-ZORB.PDT_2104.PV,反应器顶底压差,50-110,KPa,5
9,S-ZORB.SIS_PDT_2103B.PV,反应过滤器压差,8-1500,KPa,100
10,S-ZORB.TC_2101.PV,反吹氢气温度,165-250,℃,2
11,S-ZORB.TE_2301.PV,D105温度,240-400,℃,2
12,S-ZORB.PT_2301.PV,D105压力,2.25-2.55,MPa,0.1
13,S-ZORB.FC_2301.PV,D105流化氢气流量,0-350,Nm3/h,50
14,S-ZORB.PC_2105.PV,反吹氢气压力,4.5-5.85,MPa,0.1
15,S-ZORB.PC_5101.PV,稳定塔顶压力,0.60-0.70,MPa,0.05
16,S-ZORB.TC_5005.PV,稳定塔下部温度,100-150,℃,1
17,S-ZORB.LC_5001.PV,稳定塔液位,45-60,%,1
18,S-ZORB.LC_5101.PV,塔顶回流罐D201液位,40-800,mm,50
19,S-ZORB.TE_5102.PV,干气出装置温度,20-40,℃,1
20,S-ZORB.TE_5202.PV,精制汽油出装置温度,30-45,℃,1
21,S-ZORB.FC_5202.PV,精制汽油出装置流量,90-160,t/h,10
22,S-ZORB.AT_5201.PV,精制汽油出装置硫含量,0-5,μg/g,1
23,S-ZORB.PT_9301.PV,蒸汽进装置压力,0.5-1.3,MPa,0.1
24,S-ZORB.FT_9301.PV,蒸汽进装置流量,0-3500,Nm3/h,50
25,S-ZORB.FT_1501.PV,新氢进装置流量,0-3500,Nm3/h,50
26,S-ZORB.FT_5104.PV,轻烃出装置流量,0-3500,kg/h,50
27,S-ZORB.FT_5101.PV,干气出装置流量,430-1500,Nm3/h,50
28,S-ZORB.FT_9101.PV,污油出装置,0-85,t/h,5
29,S-ZORB.TE_9001.PV,燃料气进装置温度,10-40,℃,1
30,S-ZORB.PT_9001.PV,燃料气进装置压力,0.35-0.55,MPa,0.1
31,S-ZORB.FT_9001.PV,燃料气进装置流量,350-600,Nm3/h,50
32,S-ZORB.FT_9403.PV,氮气进装置流量,250-800,Nm3/h,50
33,S-ZORB.PT_9403.PV,氮气进装置压力,0.95-1.00,MPa,0.05
34,S-ZORB.TE_9301.PV,1.0MPa蒸汽进装置温度,150-250,℃,1
35,S-ZORB.FT_9201.PV,循环水进装置流量,250-900,kg/h,50
36,S-ZORB.FT_9202.PV,循环水出装置流量 ,250-600,kg/h,50
37,S-ZORB.FT_9302.PV,0.3MPa凝结水出装置流量,3-6500,kg/h,50
38,S-ZORB.FT_3301.PV,除氧水进装置流量,10-1500,kg/h,50
39,S-ZORB.FT_9402.PV,非净化风进装置流量,0-900,Nm3/h,50
40,S-ZORB.PT_9402.PV,非净化风进装置压力,0.55-0.70,MPa,0.05
41,S-ZORB.FT_9401.PV,净化风进装置流量,25-900,Nm3/h,50
42,S-ZORB.PT_9401.PV,净化风进装置压力,0.35-0.60,MPa,0.05
43,S-ZORB.PDC_2502.PV,D107转剂线压差,-1-(55),KPa,-5
44,S-ZORB.FC_2501.PV,D107提升氮气流量,20-55,Nm3/h,5
45,S-ZORB.FT_1001.PV,催化汽油进装置总流量,40-145,t/h,5
46,S-ZORB.FT_1002.PV,1#催化汽油进装置流量,0-140,t/h,5
47,S-ZORB.FT_1003.PV,2#催化汽油进装置流量,0-75,t/h,5
48,S-ZORB.FT_1004.PV,3#催化汽油进装置流量,0-90,t/h,5
49,S-ZORB.SIS_LT_1001.PV,原料缓冲罐液位,40-80,%,10
50,S-ZORB.TE_1001.PV,原料进装置温度,35-80,℃,1
51,S-ZORB.FC_1005.PV,原料泵出口流量,95-160,t/h,10
52,S-ZORB.FC_1101.PV,原料进装置流量,90-145,t/h,0.5
53,S-ZORB.FC_1102.PV,混氢点氢气流量,5500-9000,Nm3/h,100
54,S-ZORB.AT_1001.PV,进装置原料硫含量,1.5-650,mg/kg,10
55,S-ZORB.TE_1105.PV,原料换热器管程总管进口温度,40-80,℃,1
56,S-ZORB.PDI_1102.PV,原料换热器管程进出口压差,0-0.25,KPa,0.05
57,S-ZORB.TE_1601.PV,加热炉进口温度,350-400,℃,1
58,S-ZORB.SIS_TE_6010.PV,加热炉排烟出口温度,10-180,℃,1
59,S-ZORB.PC_6001.PV,辐射室出口压力,-0.20-0,,-0.05
60,S-ZORB.AC_6001.PV,加热炉氧含量,1.5-7.75,%,0.05
61,S-ZORB.TE_1608.PV,加热炉循环氢出口温度,400-500,℃,1
62,S-ZORB.TC_1606.PV,反应器入口温度,400-450,℃,1
63,S-ZORB.PT_6002.PV,加热炉炉膛压力,-0.60-（-0.15）,,-0.1
64,S-ZORB.PC_1603.PV,加热炉主火嘴瓦斯入口压力,0-0.20,MPa,0.05
65,S-ZORB.PT_1602A.PV,加热炉主火嘴阀前压力,0.35-0.40,KPa,0.1
66,S-ZORB.PC_1301.PV,K101机出口压力,2.55-3.55,MPa,0.1
67,S-ZORB.PT_1201.PV,D104压力,2.20-2.50,MPa,0.1
68,S-ZORB.LC_1201.PV,D104液面,45-55,%,5
69,S-ZORB.FC_1201.PV,D104去稳定塔流量,75-150,t/h,5
70,S-ZORB.TE_1201.PV,D104温度,100-150,℃,1
71,S-ZORB.TE_1203.PV,D121温度,25-50,℃,1
72,S-ZORB.LC_1202.PV,D121液面,45-55,%,5
73,S-ZORB.FC_1203.PV,D121去稳定塔流量,5-15,t/h,1
74,S-ZORB.FC_1202.PV,D121顶去放火炬流量,0-300,Nm3/h,30
75,S-ZORB.PC_1202.PV,反应系统压力,2.00-2.45,MPa,0.1
76,S-ZORB.TC_2801.PV,还原器温度,200-350,℃,1
77,S-ZORB.FC_3101.PV,再生风流量,90-550,Nm3/h,50
78,S-ZORB.FC_3103.PV,再生冷氮气流量,0-80,Nm3/h,10
79,S-ZORB.FC_2601.PV,R102再生器提升氮气流量,2-100,Nm3/h,10
80,S-ZORB.PC_2601.PV,再生器压力,0-0.15,MPa,0.05
81,S-ZORB.PDT_2604.PV,再生器顶底差压,20-45,KPa,5
82,S-ZORB.TE_2601.PV,再生器顶烟气温度,200-400,℃,1
83,S-ZORB.TC_2607.PV,再生器温度,450-520,℃,1
84,S-ZORB.AI_2903.PV,再生烟气氧含量,0.5-3,%,0.2
85,S-ZORB.PDI_2703A.PV,D110顶底压差,25-60,KPa,5
86,S-ZORB.PDC_2607.PV,R102转剂线压差,1-50,KPa,2
87,S-ZORB.FT_9102.PV,火炬气排放流量,20-20000000,,1000
88,S-ZORB.PT_1501.PV,,0-2.5,,0.2
89,S-ZORB.FT_1002.TOTAL,,0-620,,10
90,S-ZORB.FT_1004.TOTAL,,16000-2400000,,10000
91,S-ZORB.FT_9001.TOTAL,,85000-14000000,,10000
92,S-ZORB.FT_5104.TOTAL,,12-14000,,500
93,S-ZORB.FT_5201.TOTAL,,15000-4000000,,10000
94,S-ZORB.FT_5101.TOTAL,,150000-26000000,,10000
95,S-ZORB.FT_9101.TOTAL,,425-120000,,10000
96,S-ZORB.FT_1501.TOTAL,新氢进装置流量,0-55000000,Nm3/h,10000
97,S-ZORB.FT_1003.TOTAL,,1100-1500000,,10000
98,S-ZORB.FT_3301.TOTAL,,45-25000,,1000
99,S-ZORB.FT_9201.TOTAL,,150000-25000000,,10000
100,S-ZORB.FT_9202.TOTAL,,100000-15000000,,10000
101,S-ZORB.FT_9301.TOTAL,,185-92000,,2000
102,S-ZORB.FT_9302.TOTAL,,150-120000,,2000
103,S-ZORB.FT_9401.TOTAL,,15000-3500000,,10000
104,S-ZORB.FT_9402.TOTAL,,150000-55000000,,10000
105,S-ZORB.FT_9403.TOTAL,,120000-30000000,,10000
106,S-ZORB.FT_1202.TOTAL,,-520000-(175),,
107,S-ZORB.FT_5201.PV,产品汽油出装置流量,10-155,t/h,10
108,S-ZORB.FC_1101.TOTAL,原料进装置流量累计,20000-4000000,t/h,10000
109,S-ZORB.FT_1204.PV,,0.5-200,,10
110,S-ZORB.FT_5102.PV,,0-450,,10
111,S-ZORB.FT_1204.TOTAL,,45000-2500000,,10000
112,S-ZORB.FT_5102.TOTAL,,45000-1500000,,10000
113,S-ZORB.FC_1202.TOTAL,废氢排放累计流量,25000-500000,Nm3/h,10000
114,S-ZORB.FT_9102.TOTAL,火炬气排放累计流量,20000-4500000,,10000
115,S-ZORB.FT_1001.TOTAL,原料进装置流量累计1,15000-4000000,t/h,10000
116,S-ZORB.TE_1101.DACA,E-101壳程出口总管温度,100-150,℃,1
117,S-ZORB.PT_1102.DACA,E-101管程入口总管压力,2.55-2.95,MPa,0.1
118,S-ZORB.PT_1103.DACA,E-101管程出口总管压力,2.40-2.75,MPa,0.1
119,S-ZORB.TE_1104.DACA,E-101F管程出口管温度,50-400,℃,1
120,S-ZORB.TE_1107.DACA,E-101D壳程出口管温度,50-150,℃,1
121,S-ZORB.TE_1103.DACA,E-101C管程出口管温度,300-400,℃,1
122,S-ZORB.TE_1106.DACA,E-101A壳程出口管温度,100-200,℃,1
123,S-ZORB.LI_9102.DACA,D-204液位,10-90,%,5
124,S-ZORB.TE_9003.DACA,D-203燃料气进口管温度,10-40,℃,1
125,S-ZORB.TE_9002.DACA,D-203顶部出口管温度,10-50,℃,1
126,S-ZORB.FT_9002.DACA,D203出口燃料气流量,300-650,Nm3/h,30
127,S-ZORB.PC_9002.DACA,D-203顶部出口管,0.35-0.40,,0.1
128,S-ZORB.LT_9001.DACA,D-203底部液位,-1.5-(2.1),,0.3
129,S-ZORB.LC_5002.DACA,D-202液位,35-70,%,5
130,S-ZORB.LC_5102.DACA,D-201水包界位,35-85,,5
131,S-ZORB.LT_3801.DACA,D-125液位,-0.85-(2.00),mm,0.2
