4,600-1000,50,600,1000
10,165-250,2,165,250
17,45-60,1,45,60
22,0-5,1,0,5
24,0-3500,50,0,3500
34,150-250,1,150,250
40,0.55-0.70,0.05,0.55,0.7
50,35-80,1,35,80
55,40-80,1,40,80
72,45-55,5,45,55
81,20-45,5,20,45
121,300-400,1,300,400
148,150-320,5,150,320
157,0.1-0.2,0.05,0.1,0.2
168,100-150,1,100,150
169,40-80,1,40,80
186,1.5-645,10,1.5,645
188,-12,1,-3,9
224,0.1-0.2,0.05,0.1,0.2
294,120-350,1,120,350
302,300-550,2,300,550
320,0.4-0.8,0.1,0.4,0.8
321,0.5-2.0,0.1,0.5,2
325,400-450,1,400,450
